feature,importance
number_of_vehicles,0.3141717954582924
speed_limit,0.12996799239529214
road_type,0.12498633575510601
urban_or_rural_area,0.10705373571561848
junction_detail,0.09236878399746003
hour,0.07130848491630684
weather_conditions,0.04411755471299231
light_conditions,0.0392276341928227
road_surface_conditions,0.032245443901658746
is_weekend,0.019040699609090724
is_night,0.015692569418669082
is_wet_road,0.009818969926690554
